id,nome,descricao,dano
301,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
302,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
303,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
304,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
305,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
306,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
307,tackle,Inflicts regular damage.,40
308,mega-punch,Inflicts regular damage.,80
309,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
310,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
311,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
312,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
313,tackle,Inflicts regular damage.,40
314,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
315,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
316,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
317,tackle,Inflicts regular damage.,40
318,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
319,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
320,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
321,cut,Inflicts regular damage.,50
322,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
323,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
324,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
325,jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",100
326,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
327,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
328,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
329,jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",100
330,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
331,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
332,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
333,slam,Inflicts regular damage.,80
334,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
335,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
336,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
337,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
338,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
339,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
340,pound,Inflicts regular damage.,40
341,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
342,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
343,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
344,pound,Inflicts regular damage.,40
345,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
346,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
347,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
348,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
349,tackle,Inflicts regular damage.,40
350,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
351,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
352,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
353,tackle,Inflicts regular damage.,40
354,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
355,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
356,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
357,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
358,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
359,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
360,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
361,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
362,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
363,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
364,mega-punch,Inflicts regular damage.,80
365,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
366,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
367,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
368,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
369,slam,Inflicts regular damage.,80
370,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
371,tackle,Inflicts regular damage.,40
372,pound,Inflicts regular damage.,40
373,mega-punch,Inflicts regular damage.,80
374,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
375,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
376,pound,Inflicts regular damage.,40
377,mega-punch,Inflicts regular damage.,80
378,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
379,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
380,vice-grip,Inflicts regular damage.,55
381,cut,Inflicts regular damage.,50
382,slam,Inflicts regular damage.,80
383,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
384,vice-grip,Inflicts regular damage.,55
385,cut,Inflicts regular damage.,50
386,slam,Inflicts regular damage.,80
387,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
388,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
389,tackle,Inflicts regular damage.,40
390,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
391,thunder-shock,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,40
392,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
393,tackle,Inflicts regular damage.,40
394,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
395,hyper-beam,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",150
396,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
397,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
398,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
399,psybeam,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,65
400,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
401,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
402,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
403,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
404,mega-punch,Inflicts regular damage.,80
405,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
406,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
407,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
408,mega-punch,Inflicts regular damage.,80
409,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
410,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
411,mega-kick,Inflicts regular damage.,120
412,mega-punch,Inflicts regular damage.,80
413,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
414,mega-kick,Inflicts regular damage.,120
415,jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",100
416,comet-punch,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",18
417,mega-punch,Inflicts regular damage.,80
418,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
419,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
420,mega-punch,Inflicts regular damage.,80
421,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
422,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
423,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
424,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
425,tackle,Inflicts regular damage.,40
426,flamethrower,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,90
427,psybeam,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,65
428,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
429,tackle,Inflicts regular damage.,40
430,flamethrower,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,90
431,psybeam,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,65
432,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
433,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
434,horn-attack,Inflicts regular damage.,65
435,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
436,mega-punch,Inflicts regular damage.,80
437,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
438,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
439,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
440,pound,Inflicts regular damage.,40
441,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
442,mega-punch,Inflicts regular damage.,80
443,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
444,cut,Inflicts regular damage.,50
445,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
446,slam,Inflicts regular damage.,80
447,vine-whip,Inflicts regular damage.,45
448,pound,Inflicts regular damage.,40
449,comet-punch,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",18
450,mega-punch,Inflicts regular damage.,80
451,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
452,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
453,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
454,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
455,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
456,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
457,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
458,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
459,water-gun,Inflicts regular damage.,40
460,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
461,horn-attack,Inflicts regular damage.,65
462,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
463,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
464,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
465,horn-attack,Inflicts regular damage.,65
466,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
467,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
468,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
469,tackle,Inflicts regular damage.,40
470,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
471,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
472,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
473,tackle,Inflicts regular damage.,40
474,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
475,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
476,pound,Inflicts regular damage.,40
477,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
478,mega-punch,Inflicts regular damage.,80
479,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
480,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
481,cut,Inflicts regular damage.,50
482,wing-attack,Inflicts regular damage.,60
483,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
484,pound,Inflicts regular damage.,40
485,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
486,mega-punch,Inflicts regular damage.,80
487,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
488,mega-punch,Inflicts regular damage.,80
489,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
490,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
491,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
492,mega-punch,Inflicts regular damage.,80
493,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
494,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
495,mega-kick,Inflicts regular damage.,120
496,vice-grip,Inflicts regular damage.,55
497,cut,Inflicts regular damage.,50
498,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
499,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
500,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
501,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
502,horn-attack,Inflicts regular damage.,65
503,tackle,Inflicts regular damage.,40
504,tackle,Inflicts regular damage.,40
505,hydro-pump,Inflicts regular damage.,110
506,bounce,"Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a $effect_chance% chance to paralyze the target.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",85
507,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
508,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
509,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
510,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
511,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
512,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
513,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
514,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
515,tackle,Inflicts regular damage.,40
516,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
517,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
518,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
519,tackle,Inflicts regular damage.,40
520,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
521,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
522,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
523,tackle,Inflicts regular damage.,40
524,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
525,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
526,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
527,tackle,Inflicts regular damage.,40
528,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
529,tackle,Inflicts regular damage.,40
530,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
531,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
532,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
533,slam,Inflicts regular damage.,80
534,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
535,horn-attack,Inflicts regular damage.,65
536,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
537,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
538,horn-attack,Inflicts regular damage.,65
539,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
540,scratch,Inflicts regular damage.,40
541,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
542,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
543,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
544,scratch,Inflicts regular damage.,40
545,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
546,cut,Inflicts regular damage.,50
547,mega-kick,Inflicts regular damage.,120
548,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
549,wing-attack,Inflicts regular damage.,60
550,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
551,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
552,mega-punch,Inflicts regular damage.,80
553,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
554,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
555,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
556,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
557,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
558,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
559,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
560,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
561,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
562,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
563,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
564,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
565,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
566,wing-attack,Inflicts regular damage.,60
567,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
568,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
569,slam,Inflicts regular damage.,80
570,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
571,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
572,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
573,slam,Inflicts regular damage.,80
574,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
575,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
576,mega-punch,Inflicts regular damage.,80
577,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
578,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
579,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
580,mega-punch,Inflicts regular damage.,80
581,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
582,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
583,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
584,pound,Inflicts regular damage.,40
585,mega-punch,Inflicts regular damage.,80
586,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
587,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
588,cut,Inflicts regular damage.,50
589,vine-whip,Inflicts regular damage.,45
590,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
591,tackle,Inflicts regular damage.,40
592,cut,Inflicts regular damage.,50
593,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
594,tackle,Inflicts regular damage.,40
595,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
596,cut,Inflicts regular damage.,50
597,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
598,tackle,Inflicts regular damage.,40
599,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
600,cut,Inflicts regular damage.,50
601,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
602,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
603,tackle,Inflicts regular damage.,40
604,cut,Inflicts regular damage.,50
605,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
